Date,Predicted_Price
2026-06-02 08:49:24.727259464,70123.2028006021
2026-06-02 09:49:14.454518928,70227.7643068042
2026-06-02 10:49:04.181778393,70331.67006988476
2026-06-02 11:48:53.909037857,70434.92456774358
2026-06-02 12:48:43.636297322,70537.53224770204
2026-06-02 13:48:33.363556786,70639.4975267119
2026-06-02 14:48:23.090816251,70740.82479156273
2026-06-02 15:48:12.818075715,70841.51839908783
2026-06-02 16:48:02.545335180,70941.58267636881
2026-06-02 17:47:52.272594644,71041.02192093877
2026-06-02 18:47:41.999854108,71139.8404009841
2026-06-02 19:47:31.727113573,71238.0423555448
2026-06-02 20:47:21.454373037,71335.63199471359
2026-06-02 21:47:11.181632502,71432.61349983356
2026-06-02 22:47:00.908891966,71528.99102369449
2026-06-02 23:46:50.636151431,71624.76869072781
2026-06-03 00:46:40.363410895,71719.95059720032
2026-06-03 01:46:30.090670360,71814.54081140645
2026-06-03 02:46:19.817929824,71908.54337385931
2026-06-03 03:46:09.545189289,72001.9622974804
2026-06-03 04:45:59.272448753,72094.80156778799
2026-06-03 05:45:48.999708217,72187.06514308431
2026-06-03 06:45:38.726967682,72278.75695464136
2026-06-03 07:45:28.454227146,72369.8809068855
2026-06-03 08:45:18.181486611,72460.4408775808
2026-06-03 09:45:07.908746075,72550.44071801103
2026-06-03 10:44:57.636005540,72639.88425316058
2026-06-03 11:44:47.363265004,72728.775281894
2026-06-03 12:44:37.090524469,72817.1175771344
2026-06-03 13:44:26.817783933,72904.91488604054
2026-06-03 14:44:16.545043397,72992.17093018284
2026-06-03 15:44:06.272302862,73078.88940571806
2026-06-03 16:43:55.999562326,73165.07398356286
2026-06-03 17:43:45.726821791,73250.72830956618
2026-06-03 18:43:35.454081255,73335.8560046804
2026-06-03 19:43:25.181340720,73420.46066513134
2026-06-03 20:43:14.908600184,73504.54586258713
2026-06-03 21:43:04.635859649,73588.1151443259
2026-06-03 22:42:54.363119113,73671.17203340237
2026-06-03 23:42:44.090378578,73753.7200288132
2026-06-04 00:42:33.817638042,73835.76260566131
2026-06-04 01:42:23.544897506,73917.30321531904
2026-06-04 02:42:13.272156971,73998.34528559023
2026-06-04 03:42:02.999416435,74078.8922208711
2026-06-04 04:41:52.726675900,74158.94740231015
2026-06-04 05:41:42.453935364,74238.51418796691
2026-06-04 06:41:32.181194829,74317.59591296955
2026-06-04 07:41:21.908454293,74396.19588967157
2026-06-04 08:41:11.635713758,74474.3174078072
2026-06-04 09:41:01.362973222,74551.963734646
2026-06-04 10:40:51.090232686,74629.13811514612
2026-06-04 11:40:40.817492151,74705.84377210682
2026-06-04 12:40:30.544751615,74782.0839063196
2026-06-04 13:40:20.272011080,74857.86169671865
2026-06-04 14:40:09.999270544,74933.18030053002
2026-06-04 15:39:59.726530009,75008.04285341989
2026-06-04 16:39:49.453789473,75082.45246964178
2026-06-04 17:39:39.181048938,75156.41224218278
2026-06-04 18:39:28.908308402,75229.92524290878
2026-06-04 19:39:18.635567867,75302.9945227087
2026-06-04 20:39:08.362827331,75375.62311163772
2026-06-04 21:38:58.090086795,75447.81401905954
2026-06-04 22:38:47.817346260,75519.57023378774
2026-06-04 23:38:37.544605724,75590.89472422605
2026-06-05 00:38:27.271865189,75661.79043850771
2026-06-05 01:38:16.999124653,75732.26030463398
2026-06-05 02:38:06.726384118,75802.30723061149
2026-06-05 03:37:56.453643582,75871.93410458889
2026-06-05 04:37:46.180903047,75941.1437949924
2026-06-05 05:37:35.908162511,76009.9391506605
2026-06-05 06:37:25.635421975,76078.3230009777
2026-06-05 07:37:15.362681440,76146.29815600738
2026-06-05 08:37:05.089940904,76213.8674066237
2026-06-05 09:36:54.817200369,76281.03352464268
2026-06-05 10:36:44.544459833,76347.79926295234
2026-06-05 11:36:34.271719298,76414.16735564191
2026-06-05 12:36:23.998978762,76480.14051813027
2026-06-05 13:36:13.726238227,76545.72144729337
2026-06-05 14:36:03.453497691,76610.91282159093
2026-06-05 15:35:53.180757156,76675.71730119215
2026-06-05 16:35:42.908016620,76740.13752810062
2026-06-05 17:35:32.635276084,76804.17612627835
2026-06-05 18:35:22.362535549,76867.83570176903
2026-06-05 19:35:12.089795013,76931.11884282033
2026-06-05 20:35:01.817054478,76994.02812000546
2026-06-05 21:34:51.544313942,77056.56608634385
2026-06-05 22:34:41.271573407,77118.73527742103
2026-06-05 23:34:30.998832871,77180.53821150765
2026-06-06 00:34:20.726092336,77241.97738967776
2026-06-06 01:34:10.453351800,77303.05529592623
2026-06-06 02:34:00.180611265,77363.77439728535
2026-06-06 03:33:49.907870729,77424.1371439407
2026-06-06 04:33:39.635130193,77484.14596934618
2026-06-06 05:33:29.362389658,77543.80329033828
2026-06-06 06:33:19.089649122,77603.11150724952
2026-06-06 07:33:08.816908587,77662.07300402113
2026-06-06 08:32:58.544168051,77720.69014831512
2026-06-06 09:32:48.271427516,77778.96529162525
2026-06-06 10:32:37.998686980,77836.90076938762
2026-06-06 11:32:27.725946445,77894.49890109018
2026-06-06 12:32:17.453205909,77951.76199038174
2026-06-06 13:32:07.180465373,78008.69232518006
2026-06-06 14:31:56.907724838,78065.29217777934
2026-06-06 15:31:46.634984302,78121.56380495684
2026-06-06 16:31:36.362243767,78177.50944807887
2026-06-06 17:31:26.089503231,78233.13133320605
